table,column name,type,description
patient,patient_id,char,Uniquely generated patient ID (persists between encounters for recurring patients). We suggest hashing the concatenation of site ID + local patient identifier + random generated number so that IDs are not duplicated between collaborators
patient,assigned_sex,char,Male/Female
patient,race,char,"Self-described race:
African-American
Asian
Caucasian
Other/Mutiethnic"
patient,ethnicity,char,"1, Not Hispanic 
2, Hispanic"
patient,site_id,char,String identifier for the research group contributing the dataset
patient,*pmhx_htn,bool,History of hypertension
patient,*pmhx_dm,bool,History of diabetes mellitus
patient,*pmhx_chd,bool,History of congenital heart disease
patient,*pmhx_chd_text,char,Congenital heart disease details
patient,*pmhx_smoking,bool,History of smoking
encounter,patient_id,char,Uniquely generated patient ID (persists between encounters for recurring patients). We suggest hashing the concatenation of site ID + local patient identifier + random generated number so that IDs are not duplicated between collaborators
encounter,encounter_id,char,"Unique identifier for a single controlled desturation session, or clinical encounter (e.g. hospitalization)"
encounter,age_at_encounter,int,"Age at time of data collection, calculated by date of birth - current date"
encounter,encounter_date,date,"The date the encounter took place (YYYY-MM-DD), offset into the future by some random number of days to preserve anonymity. The offset attempts to preserve seasonality, and is consistent for a given patient between encounters (i.e. the encounter date is offset by the same amount in the future for each encounter for a patient who comes in for multiple breathe down encounters)"
encounter,fitzpatrick,int,"Perceived Fitzpatrick scale, see Hypoxia lab skin color assessment protocol

Values:
1, Type I
2, Type II
3, Type III
4, Type IV
5, Type V
6, Type VI"
encounter,monk_fingernail,char,"Monk scale measured at fingernail, see Hypoxia lab skin color assessment protocol

Values:
A
B
C
D
E
F
G
H
I"
encounter,monk_dorsal,char,"Monk scale measured at dorsal finger, see Hypoxia lab skin color assessment protocol"
encounter,monk_palmar,char,"Monk scale measured at palmar finger, see Hypoxia lab skin color assessment protocol"
encounter,monk_upper_arm,char,"Monk scale measured at upper arm, see Hypoxia lab skin color assessment protocol"
encounter,monk_forehead,char,"Monk scale measured at forehead, see Hypoxia lab skin color assessment protocol"
encounter,finger_l1_device,int,"Device present on L1 finger, OpenOximetery unique device identifier"
encounter,finger_l2_device,int,"Device present on L2 finger, OpenOximetery unique device identifier"
encounter,finger_l3_device,int,"Device present on L3 finger, OpenOximetery unique device identifier"
encounter,finger_l4_device,int,"Device present on L4 finger, OpenOximetery unique device identifier"
encounter,finger_l5_device,int,"Device present on L5 finger, OpenOximetery unique device identifier"
encounter,finger_r1_device,int,"Device present on R1 finger, OpenOximetery unique device identifier"
encounter,finger_r2_device,int,"Device present on R2 finger, OpenOximetery unique device identifier"
encounter,finger_r3_device,int,"Device present on R3 finger, OpenOximetery unique device identifier"
encounter,finger_r4_device,int,"Device present on R4 finger, OpenOximetery unique device identifier"
encounter,finger_r5_device,int,"Device present on R5 finger, OpenOximetery unique device identifier"
encounter,finger_l1_diameter,int,Unit: mm
encounter,finger_l2_diameter,int,Unit: mm
encounter,finger_l3_diameter,int,Unit: mm
encounter,finger_l4_diameter,int,Unit: mm
encounter,finger_l5_diameter,int,Unit: mm
encounter,finger_r1_diameter,int,Unit: mm
encounter,finger_r2_diameter,int,Unit: mm
encounter,finger_r3_diameter,int,Unit: mm
encounter,finger_r4_diameter,int,Unit: mm
encounter,finger_r5_diameter,int,Unit: mm
encounter,warming,bool,
bloodgas,patient_id,char,Uniquely generated patient ID (persists between encounters for recurring patients). We suggest hashing the concatenation of site ID + local patient identifier + random generated number so that IDs are not duplicated between collaborators
